variable,importancia
percentage_of_time_with_abnormal_long_term_variability,1319.0
abnormal_short_term_variability,1254.0
uterine_contractions,946.0
mean_short_term_variability,878.0
mean_value_of_long_term_variability,863.0
histogram_width,770.0
baseline_value,759.0
histogram_max,706.0
fetal_movement,704.0
histogram_mean,666.0
histogram_min,649.0
histogram_mode,628.0
accelerations,625.0
histogram_number_of_peaks,462.0
prolongued_decelerations,459.0
histogram_median,425.0
histogram_variance,413.0
light_decelerations,362.0
histogram_tendency,166.0
histogram_number_of_zeroes,53.0
severe_decelerations,6.0
